date,value
2024-01-01,85000
2024-01-02,87000
2024-01-03,82000
2024-01-04,89000
2024-01-05,86000
2024-01-06,80000
2024-01-07,92000
2024-01-08,88000
2024-01-09,84000
2024-01-10,94000
2024-01-11,96000
2024-01-12,90000
2024-01-13,98000
2024-01-14,100000
2024-01-15,92000
2024-01-16,102000
2024-01-17,104000
2024-01-18,94000
2024-01-19,106000
2024-01-20,108000
2024-01-21,96000
2024-01-22,110000
2024-01-23,112000
2024-01-24,98000
2024-01-25,114000
2024-01-26,116000
2024-01-27,100000
2024-01-28,118000
2024-01-29,250000
2024-01-30,102000
2024-01-31,10000 
