date,value
2024-01-01,8500000
2024-01-02,8700000
2024-01-03,8300000
2024-01-04,8900000
2024-01-05,8600000
2024-01-06,8200000
2024-01-07,9100000
2024-01-08,8800000
2024-01-09,8400000
2024-01-10,9200000
2024-01-11,9400000
2024-01-12,8700000
2024-01-13,9600000
2024-01-14,9800000
2024-01-15,9000000
2024-01-16,10000000
2024-01-17,10200000
2024-01-18,9300000
2024-01-19,10400000
2024-01-20,10600000
2024-01-21,9500000
2024-01-22,10800000
2024-01-23,11000000
2024-01-24,9700000
2024-01-25,11200000
2024-01-26,11400000
2024-01-27,9900000
2024-01-28,11600000
2024-01-29,25000000
2024-01-30,10100000
2024-01-31,2000000 
