date,value
2024-01-01,125000
2024-01-02,128000
2024-01-03,122000
2024-01-04,131000
2024-01-05,127000
2024-01-06,120000
2024-01-07,135000
2024-01-08,130000
2024-01-09,125000
2024-01-10,138000
2024-01-11,141000
2024-01-12,133000
2024-01-13,144000
2024-01-14,147000
2024-01-15,136000
2024-01-16,150000
2024-01-17,153000
2024-01-18,139000
2024-01-19,156000
2024-01-20,159000
2024-01-21,142000
2024-01-22,162000
2024-01-23,165000
2024-01-24,145000
2024-01-25,168000
2024-01-26,171000
2024-01-27,148000
2024-01-28,174000
2024-01-29,177000
2024-01-30,151000 
